id_pengajuan,nik,nomor_nib,kota,kbli_kode,kbli_deskripsi,skala_usaha,jenis_kur,lama_usaha_bulan,modal_usaha,plafon_diajukan,tenor_bulan,jumlah_tanggungan,ada_npwp,ada_bpjs_tk,total_pendapatan_bulanan,hpp_bulanan,laba_kotor_bulanan,biaya_operasional_bulanan,rata_laba_bersih_bulanan,rata_saldo_harian,total_kredit_3bln,total_debit_3bln,kolektibilitas_slik,total_kredit_aktif_slik,jumlah_fasilitas_slik,status_blacklist,kredit_lunas_sebelumnya,ada_agunan,jenis_agunan,nilai_agunan,rasio_agunan_terhadap_plafon,dti_ratio,label_kelayakan
bdfab8ea-1839-42b0-ae4b-991efb4a779f,3786743862513791,3640576573006,Jakarta,49431,Angkutan barang,kecil,kecil,79,697350443,419916126,48,0,Ya,Tidak,215652521,133224479,82428042,19093328,39068834,94871350,771203823,442859981,1,36226302,4,Tidak,1,Ya,SHGB,1019122805,2.43,0.2351,Disetujui dengan syarat tambahan
a64fa5fb-a1ba-47e5-9c80-4677da5ad7da,6087067367908300,1239855650218,Denpasar,01111,Pertanian padi,mikro,mikro,64,116918877,21836628,24,3,Ya,Ya,65166084,43816986,21349098,11799239,4075753,6933578,238354286,138740289,1,6904334,2,Tidak,2,Ya,SHGB,34171151,1.56,0.2344,Disetujui langsung
835064cb-7fb7-4bb9-822d-0e9ccb5a98a3,6371526429654642,8918278954142,Bekasi,56101,Restoran dan rumah makan,kecil,kecil,94,2020562302,490464335,48,1,Ya,Ya,186748250,127780460,58967790,22255225,52612172,151394422,553465728,428000535,1,32902877,2,Tidak,3,Ya,SHGB,817975410,1.67,0.2039,Disetujui langsung
31d612dc-2bda-4660-a86c-264418fa49f4,5476862360057377,5327584078496,Bekasi,01111,Pertanian padi,mikro,super_mikro,25,17224853,28324420,12,1,Tidak,Tidak,866040,383929,482111,270691,2902492,721873,2005188,1731157,5,242657394,2,Ya,0,Tidak,Tidak ada,0,0.0,0.8539,Ditolak otomatis
13bfd240-3649-45cf-a58a-b93f188068f0,6264380773709246,3746089851036,Depok,01111,Pertanian padi,mikro,mikro,35,137675913,30316630,36,3,Tidak,Tidak,55598062,34318492,21279570,4500094,997083,2363899,166898542,103052115,4,275726379,4,Tidak,0,Tidak,Tidak ada,0,0.0,0.8868,Ditolak otomatis
fc28b247-fef6-4afa-b515-513088028515,2604579051658931,8467792474940,Malang,10311,Industri pengolahan ikan,menengah,khusus,91,3649384036,1113241818,36,0,Ya,Tidak,1864672291,633286948,1231385343,374215451,82308929,282744631,6805708939,5677138772,2,63356186,3,Tidak,1,Ya,BPKB,2195065518,1.97,0.3945,Disetujui dengan syarat tambahan
f6e7b46e-4f20-4112-8cc6-2d364a4b616e,7642260869532474,6215015817128,Bogor,62011,Aktivitas pemrograman komputer,mikro,super_mikro,28,236204882,35846597,36,5,Tidak,Ya,11883381,4993751,6889630,3520009,3090905,4435192,41491702,23925957,2,0,0,Tidak,0,Tidak,Tidak ada,0,0.0,0.3383,Disetujui dengan syarat tambahan
5bb74547-50df-468b-bf94-306545d0998d,6358509141056252,0575412548203,Tangerang,62011,Aktivitas pemrograman komputer,kecil,kecil,39,1553269661,202131386,24,1,Ya,Tidak,648534430,332240093,316294337,182928347,55104204,58251049,1973044900,1469059558,1,0,0,Tidak,2,Ya,BPKB,415143328,2.05,0.1605,Disetujui langsung
a6d47288-c48b-4c53-805e-da290640e1cf,0244396938222519,8818907082969,Surabaya,49431,Angkutan barang,kecil,kecil,56,1915384441,188670186,60,3,Tidak,Tidak,696781050,429521745,267259305,56225454,5359904,22537767,1612680316,1525571860,3,140611032,4,Tidak,0,Ya,BPKB,299836314,1.59,0.616,Perlu tinjauan komite
28205812-5470-4db5-9327-ffe35104181f,8817520599747161,0247720114548,Depok,01111,Pertanian padi,mikro,mikro,3,175091467,32068866,12,4,Tidak,Tidak,38147759,14722457,23425302,11652482,4085823,1341689,136793340,86344135,2,110404135,4,Tidak,0,Tidak,Tidak ada,0,0.0,0.6868,Perlu perbaikan profil
e5f8642b-0dab-40c9-82be-a060bbd77e2c,5875450299483242,5930002750154,Yogyakarta,14111,Industri pakaian jadi,mikro,mikro,10,241937625,9078755,36,1,Tidak,Tidak,114980982,36103208,78877774,32146696,538058,344728,413898856,388829270,3,76715655,1,Tidak,0,Tidak,Tidak ada,0,0.0,0.4921,Perlu perbaikan profil
ba13aafd-541d-4add-bb24-8313c539703a,7236397539942859,3282030228520,Semarang,47211,Perdagangan eceran makanan,kecil,kecil,201,328544280,182097572,60,1,Ya,Ya,104519628,45693115,58826513,24165449,13334741,45928576,338542643,237750569,1,10793357,3,Tidak,2,Ya,SHGB,276414703,1.52,0.239,Disetujui langsung
6f8ed216-aada-4683-979a-550c28f63982,4367725798758298,7726548488164,Denpasar,49431,Angkutan barang,mikro,super_mikro,30,187571750,14308039,12,1,Ya,Tidak,93661136,44174704,49486432,22268534,2577794,1889382,247415018,177485167,2,170596966,1,Tidak,0,Tidak,Tidak ada,0,0.0,0.4857,Perlu tinjauan komite
4951efa3-3957-4acd-bdac-5e8f945c29d6,1991261204189491,2604865109052,Bandung,47211,Perdagangan eceran makanan,kecil,kecil,78,2051200098,491426548,36,1,Tidak,Tidak,837536075,381612252,455923823,211886689,45931983,52922067,2073115164,1729652140,1,0,0,Tidak,1,Ya,BPKB,760761513,1.55,0.3121,Disetujui dengan syarat tambahan
18672488-02d3-4f44-b836-b32f165020af,2112263877643750,0614155827412,Semarang,47711,Perdagangan eceran pakaian,kecil,kecil,8,642558613,87752328,24,4,Tidak,Tidak,152361611,81432841,70928770,18459535,6566512,6332878,475659646,409021751,3,119953664,2,Tidak,0,Tidak,Tidak ada,0,0.0,0.5847,Perlu perbaikan profil
b94338e8-0875-471f-8ad0-586730f31a25,1082589979300026,2880844503325,Bekasi,01111,Pertanian padi,kecil,kecil,64,2356129896,75139339,48,3,Tidak,Tidak,783309454,334083921,449225533,242842569,3720101,13094696,2770970196,1604220921,2,137920697,1,Tidak,0,Tidak,Tidak ada,0,0.0,0.4418,Perlu tinjauan komite
eefd6c27-6bb0-4687-b257-1ea0d4e45e18,1261142194450635,2612483623668,Tangerang,47211,Perdagangan eceran makanan,kecil,kecil,17,2026664963,89559980,60,0,Tidak,Tidak,1215395589,518837928,696557661,184532983,1838366,6807504,3393033317,2926361273,3,119392655,1,Tidak,0,Tidak,Tidak ada,0,0.0,0.8526,Perlu perbaikan profil
9173c28e-44ae-475f-a83a-be50a0f51323,0655282204098206,2338076391034,Malang,10311,Industri pengolahan ikan,kecil,kecil,122,1405686465,78791065,60,3,Ya,Tidak,178624001,68634056,109989945,25642061,9864750,19128636,397187448,245671273,1,38351506,1,Tidak,2,Ya,BPKB,147838911,1.88,0.1398,Disetujui langsung
c8c2b33d-b2d2-4680-b34e-66ae75c211bb,6832666355672558,0343840427487,Bogor,56101,Restoran dan rumah makan,mikro,mikro,67,104777841,1935023,12,2,Ya,Ya,6009427,2214378,3795049,1241262,387150,441871,18589755,17418056,2,0,0,Tidak,1,Tidak,Tidak ada,0,0.0,0.4373,Disetujui dengan syarat tambahan
5adf8fcd-ba44-443e-b1a3-bda51587aacf,7931602820017506,3638560403490,Batam,56101,Restoran dan rumah makan,kecil,kecil,37,338546336,373817282,36,1,Ya,Tidak,172206420,51729798,120476622,38825561,24327109,44771544,413787473,360411530,3,57599767,3,Tidak,1,Ya,BPKB,682761050,1.83,0.4482,Perlu tinjauan komite
b7aa5d80-4c12-4d76-886a-1296893382f9,5907947115409342,3478637230748,Surabaya,43211,Instalasi listrik,mikro,super_mikro,3,33415076,6584256,24,3,Tidak,Tidak,13017919,6834920,6182999,3246413,252268,381096,27475800,19394929,4,427909806,1,Tidak,0,Tidak,Tidak ada,0,0.0,1.1419,Ditolak otomatis
f5350827-2c40-41ff-8e34-969726c0f926,0205241514029116,5786547547262,Palembang,56101,Restoran dan rumah makan,kecil,kecil,31,1450707972,413272340,60,0,Tidak,Ya,815794422,345025133,470769289,133908111,15504189,62636680,1844246662,1635467774,1,0,0,Tidak,1,Ya,SHM,946452179,2.29,0.4665,Disetujui dengan syarat tambahan
